attack,target_type,nationality,weapon
Hostage Taking (Kidnapping),Journalists & Media,France,Unknown
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Iraq,Explosives/Bombs/Dynamite
Armed Assault,Police,Colombia,Firearms
Unknown,Military,Israel,Unknown
Armed Assault,Business,Sri Lanka,Unknown
Bombing/Explosion,Government (General),Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Chile,Explosives/Bombs/Dynamite
Unknown,Private Citizens & Property,Sri Lanka,Unknown
Assassination,Military,Peru,Firearms
Hostage Taking (Kidnapping),Business,Spain,Unknown
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Israel,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Colombia,Firearms
Armed Assault,Private Citizens & Property,Colombia,Firearms
Armed Assault,Private Citizens & Property,Colombia,Firearms
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Facility/Infrastructure Attack,Business,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Terrorists/Non-State Militia,Sri Lanka,Firearms
Armed Assault,Airports & Aircraft,Colombia,Incendiary
Armed Assault,Transportation,Colombia,Incendiary
Armed Assault,Transportation,Colombia,Incendiary
Bombing/Explosion,Transportation,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Malaysia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Malaysia,Incendiary
Armed Assault,Police,Colombia,Firearms
Armed Assault,Military,Nicaragua,Firearms
Assassination,NGO,France,Firearms
Assassination,Government (Diplomatic),France,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Germany,Unknown
Facility/Infrastructure Attack,Business,Malaysia,Incendiary
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Philippines,Explosives/Bombs/Dynamite
Armed Assault,Police,Colombia,Firearms
Facility/Infrastructure Attack,Abortion Related,United States,Incendiary
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Armed Assault,Police,Peru,Firearms
Armed Assault,Police,Peru,Firearms
Armed Assault,Police,Peru,Firearms
Armed Assault,Police,Peru,Firearms
Armed Assault,Police,Peru,Firearms
Armed Assault,Police,Spain,Firearms
Assassination,Police,Peru,Firearms
Assassination,Military,Peru,Firearms
Assassination,Police,Philippines,Unknown
Bombing/Explosion,Transportation,Sri Lanka,Unknown
Armed Assault,Private Citizens & Property,India,Firearms
Armed Assault,Military,Nicaragua,Firearms
Unknown,Utilities,Philippines,Unknown
Armed Assault,Business,Philippines,Unknown
Unarmed Assault,Private Citizens & Property,Northern Ireland,Melee
Bombing/Explosion,Government (General),South Africa,Explosives/Bombs/Dynamite
Assassination,Police,South Africa,Firearms
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Panama,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Panama,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Panama,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Police,Spain,Firearms
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Assassination,Police,Colombia,Unknown
Assassination,Police,Peru,Unknown
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Armed Assault,Government (General),El Salvador,Incendiary
Bombing/Explosion,Business,Panama,Explosives/Bombs/Dynamite
Armed Assault,Police,Colombia,Firearms
Armed Assault,Military,Colombia,Firearms
Armed Assault,Private Citizens & Property,Guatemala,Firearms
Bombing/Explosion,Government (Diplomatic),Argentina,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,France,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Food or Water Supply,Philippines,Unknown
Assassination,Police,South Africa,Firearms
Bombing/Explosion,Educational Institution,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Greece,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Nicaragua,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Government (Diplomatic),West Bank and Gaza Strip,Unknown
Bombing/Explosion,Military,Great Britain,Explosives/Bombs/Dynamite
Assassination,Police,South Africa,Firearms
Assassination,Private Citizens & Property,Vietnam,Firearms
Bombing/Explosion,Religious Figures/Institutions,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Police,Colombia,Firearms
Unknown,Military,Philippines,Unknown
Assassination,Police,Colombia,Firearms
Assassination,Government (Diplomatic),Israel,Firearms
Assassination,Private Citizens & Property,Israel,Firearms
Assassination,Police,India,Firearms
Assassination,Terrorists/Non-State Militia,Lebanon,Explosives/Bombs/Dynamite
Assassination,Government (General),Philippines,Unknown
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,France,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Malaysia,Explosives/Bombs/Dynamite
Hostage Taking (Barricade Incident),Private Citizens & Property,Colombia,Firearms
Armed Assault,Educational Institution,Philippines,Firearms
Assassination,Terrorists/Non-State Militia,Spain,Firearms
Hostage Taking (Kidnapping),Business,Netherlands,Unknown
Armed Assault,Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Private Citizens & Property,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Sri Lanka,Firearms
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,,Firearms
Assassination,Private Citizens & Property,Peru,Unknown
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Firearms
Hostage Taking (Kidnapping),Business,Colombia,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,Sri Lanka,Unknown
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Assassination,Private Citizens & Property,Guatemala,Firearms
Assassination,Government (General),Guatemala,Unknown
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (Diplomatic),United States,Incendiary
Facility/Infrastructure Attack,Government (General),Japan,Incendiary
Assassination,Police,Luxembourg,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Armed Assault,Police,Spain,Firearms
Bombing/Explosion,Police,Sri Lanka,Explosives/Bombs/Dynamite
Assassination,Government (General),Guatemala,Firearms
Assassination,Private Citizens & Property,India,Unknown
Assassination,Government (General),Peru,Unknown
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Greece,Incendiary
Bombing/Explosion,Business,Greece,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,United States,Incendiary
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Great Britain,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Melee
Armed Assault,Private Citizens & Property,India,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Peru,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Peru,Firearms
Armed Assault,Police,Peru,Firearms
Armed Assault,Police,Spain,Firearms
Assassination,Government (General),India,Unknown
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Assassination,Military,Northern Ireland,Firearms
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Australia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Greece,Incendiary
Bombing/Explosion,Business,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Unknown,Police,Peru,Unknown
Assassination,Government (General),India,Firearms
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (General),India,Unknown
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Police,Japan,Incendiary
Facility/Infrastructure Attack,Business,Japan,Incendiary
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Airports & Aircraft,Great Britain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Philippines,Unknown
Bombing/Explosion,Government (Diplomatic),Germany,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Police,Germany,Incendiary
Facility/Infrastructure Attack,Tourists,Great Britain,Incendiary
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Private Citizens & Property,Nicaragua,Firearms
Bombing/Explosion,Government (General),Japan,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Malaysia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Germany,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Central African Republic,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
